benchmark,sample,ms
bch_query,0,24.735
bch_query,1,24.649
bch_query,2,25.061
bch_query,3,24.254
bch_query,4,24.888
bch_query,5,26.488
bch_query,6,24.867
bch_query,7,24.780
bch_query,8,24.535
bch_query,9,24.835
bch_query,10,24.626
bch_query,11,24.451
bch_query,12,24.830
bch_query,13,24.921
bch_query,14,24.620
bch_query,15,24.598
bch_query,16,24.924
bch_query,17,24.456
bch_query,18,24.775
bch_query,19,24.694
bch_query,20,24.750
bch_query,21,24.761
bch_query,22,24.712
bch_query,23,24.873
bch_query,24,24.725
bch_query,25,24.701
bch_query,26,24.784
bch_query,27,24.630
bch_query,28,26.712
bch_query,29,24.896
bch_query,30,24.817
bch_query,31,24.211
bch_query,32,24.626
bch_query,33,24.837
bch_query,34,24.636
bch_query,35,24.810
bch_query,36,24.751
bch_query,37,24.842
bch_query,38,24.665
bch_query,39,24.847
bch_query,40,24.315
bch_query,41,24.764
bch_query,42,24.737
bch_query,43,24.678
bch_query,44,24.499
bch_query,45,24.384
bch_query,46,26.727
bch_query,47,26.644
bch_query,48,24.623
bch_query,49,24.379
bch_enroll,0,51.707
bch_enroll,1,52.389
bch_enroll,2,50.444
bch_enroll,3,50.558
bch_enroll,4,50.552
bch_enroll,5,50.634
bch_enroll,6,50.802
bch_enroll,7,50.665
bch_enroll,8,50.542
bch_enroll,9,50.531
bch_enroll,10,51.631
bch_enroll,11,51.776
bch_enroll,12,51.446
bch_enroll,13,50.783
bch_enroll,14,50.620
bch_enroll,15,50.730
bch_enroll,16,51.126
bch_enroll,17,51.867
bch_enroll,18,48.725
bch_enroll,19,49.445
bch_enroll,20,48.744
bch_enroll,21,48.846
bch_enroll,22,49.689
bch_enroll,23,49.545
bch_enroll,24,49.574
bch_enroll,25,49.716
bch_enroll,26,50.579
bch_enroll,27,50.594
bch_enroll,28,50.833
bch_enroll,29,50.657
