tc,tt,bc,bt,hi_hex,lo_hex,response
1,0,0,1,00042400,C7A7EC40,1165485675113536
1,0,0,3,00042400,C7A7EC40,1165485675113536
1,0,0,5,EC9C3410,FFAFECDA,17049559536931695834
1,0,0,7,A41C2410,FFAFECD8,11825366376995876056
1,1,0,0,FFFFFBFF,BE5F9FBF,18446739674562011071
1,1,0,2,FFFF0BFF,0C5C1BA8,18446475788784769960
1,1,0,4,FFFFFBFF,BEDF9FBF,18446739674570399679
1,1,0,6,FFFFDBFF,3C5D9FBF,18446704488008753087
1,2,0,1,00042400,CFA7EC50,1165485809331280
1,2,0,3,00042400,CFAFEC50,1165485809855568
1,2,0,5,EC9CF410,FFBFECDA,17049770643165277402
1,2,0,7,A49C3410,FFAFECDA,11861412766200884442
1,3,0,0,FFFF0BFF,2C5C1FA8,18446475789321641896
1,3,0,2,51F30BEF,001813A8,5905076657539519400
1,3,0,4,FFFF0BFF,2C5C9FA8,18446475789321674664
1,3,0,6,FFFF0BFF,045C1BA8,18446475788650552232
1,4,0,1,00042400,C7A7EC40,1165485675113536
1,4,0,3,00042400,C7A7EC40,1165485675113536
1,4,0,5,EC9C3410,FFAFECDA,17049559536931695834
1,4,0,7,A41C2410,FFAFECD8,11825366376995876056
1,5,0,0,FFFFDBFF,BE5F9FBF,18446704490189922239
1,5,0,2,FFFF0BFF,0C5C1BA8,18446475788784769960
1,5,0,4,FFFFFBFF,BEDF9FBF,18446739674570399679
1,5,0,6,FFFFDBFF,3C5D9FBF,18446704488008753087
1,6,0,1,00042400,CFAFEC50,1165485809855568
1,6,0,3,00042400,CFAFEC50,1165485809855568
1,6,0,5,EC9CF410,FFBFECDA,17049770643165277402
1,6,0,7,AC9C3410,FFAFECDA,12437873518504307930
1,7,0,0,FFFFDBFF,3C5C9FBF,18446704488008687551
1,7,0,2,57F70BFF,005C1BA8,6338548190397864872
1,7,0,4,FFFFDBFF,3C5D9FBF,18446704488008753087
1,7,0,6,FFFF0BFF,2C5C9FA8,18446475789321674664
2,0,0,0,FFFFFFFF,7FFFFDFF,18446744071562067455
2,0,0,2,FFFFFFFF,7FFFFDFD,18446744071562067453
2,0,0,4,FFFFFFFF,7FFFFDFF,18446744071562067455
2,0,0,6,FFFFFFFF,7FFFFDFF,18446744071562067455
2,1,0,1,00000000,80001FA2,2147491746
2,1,0,3,00000000,80001FA2,2147491746
2,1,0,5,04060400,80201FFA,289923626208075770
2,1,0,7,00000000,80201FFA,2149588986
2,2,0,2,FFFFFFFF,7FFFFDFF,18446744071562067455
2,2,0,6,FFFFFFFF,7FFFFDFF,18446744071562067455
2,3,0,1,00000000,80000380,2147484544
2,3,0,3,00000000,80000380,2147484544
2,3,0,5,00000000,80001FA2,2147491746
2,3,0,7,00000000,80001FA2,2147491746
2,4,0,0,FFFFFFFF,7FFFFDFF,18446744071562067455
2,4,0,2,FFFFFFFF,7FFFEC7D,18446744071562062973
2,4,0,4,FFFFFFFF,7FFFFDFF,18446744071562067455
2,4,0,6,FFFFFFFF,7FFFFDFF,18446744071562067455
2,5,0,1,00000000,80000380,2147484544
2,5,0,3,00000000,80000380,2147484544
2,5,0,5,00000000,800013A0,2147488672
2,5,0,7,00000000,80000380,2147484544
2,6,0,0,FFFFFFFF,7FFFEC5C,18446744071562062940
2,6,0,2,FFFFABFF,7FFFEC0C,18446651712585329676
2,6,0,4,FFFFFFFF,7FFFEC5D,18446744071562062941
2,6,0,6,FFFFFFFF,7FFFEC1C,18446744071562062876
2,7,0,1,00000000,80001FBA,2147491770
2,7,0,3,00000000,80001FBA,2147491770
2,7,0,5,04060400,80A01FFB,289923626216464379
2,7,0,7,04060400,80A01FFA,289923626216464378
2,0,1,1,FFFFFCBD,7FFFEC5F,18446740489559338079
2,0,1,3,FFFFFCBD,7FFFEC5F,18446740489559338079
2,0,1,5,FFFFFCBD,7FFFEC5F,18446740489559338079
2,0,1,7,FFFFFDBD,7FFFEC5F,18446741589070965855
2,1,1,0,04030B6F,80001BAA,289087374598609834
2,1,1,2,00020B6F,80001BAA,575523470187434
2,1,1,4,04070BEF,80001FAA,290213824261267370
2,1,1,6,00020B6F,80001BAA,575523470187434
2,2,1,1,FFFFFFBF,FFFFECDF,18446743798831639775
2,2,1,3,FFFFFFBF,FFFFECDF,18446743798831639775
2,2,1,5,FFFFFFBF,FFFFECDF,18446743798831639775
2,2,1,7,FFFFFFBF,FFFFECDF,18446743798831639775
2,3,1,0,00020B6F,800013A0,575523470185376
2,3,1,2,00020363,800013A0,566675837555616
2,3,1,4,00020B6F,800013AA,575523470185386
2,3,1,6,00020367,800013A0,566693017424800
2,4,1,1,FFFFF4BD,7FFFEC5F,18446731693466315871
2,4,1,3,FFFFF4BD,7FFFEC5F,18446731693466315871
2,4,1,5,FFFFF4BD,7FFFEC5F,18446731693466315871
2,4,1,7,FFFFFCBD,7FFFEC5F,18446740489559338079
2,5,1,0,00000163,800013A0,1526860878752
2,5,1,2,00000042,000013A0,283467846560
2,5,1,4,00020363,800013A0,566675837555616
2,5,1,6,00000042,800013A0,285615330208
2,6,1,1,FFFFF49D,7FFFEC5C,18446731556027362396
2,6,1,3,FFFFF49D,7FFFEC5C,18446731556027362396
